name,nameEs,romanizationName,iastName,sanskritName,alias,vkCategoryPrimary,category,difficulty,bilateral,transitionType,recommendedHoldMin,recommendedHoldMax,recommendedHoldDefault,targetMuscles,jointFocus,chakraRelated,energyEffect,benefits,benefitsEs,contraindications,contraindicationsEs,commonMistakes,commonMistakesEs,breathingCue,breathingCueEs,tags,isSystemPose,sidedness,drishti,vkFamilies
Mountain Pose,Postura de la Montaña,Tadasana,Tadāsana,ताडासन,Equal Standing Pose,standing_mountain,standing,beginner,false,static,0,0,0,quads|glutes|core,ankles|knees|hips|spine,muladhara,grounding,balance|foundational|posture|alignment,equilibrio|fundamento|postura|alineación,injuries in feet or legs|inner ear problems,lesiones en pies o piernas|problemas de oído interno,shoulders rounded|weight not balanced|knees locked,hombros redondeados|peso no equilibrado|rodillas bloqueadas,Ground all four corners of the feet. Breathe steadily.,Enraíza las cuatro esquinas de los pies. Respira con estabilidad.,foundation|grounding|alignment,true,symmetric,nasagrai,tadasana
Downward Dog,Perro Boca Abajo,Adho Mukha Svanasana,Adho Mukha Śvānāsana,अधो मुख श्वानासन,Adho Mukha Svanasana,prone,hip_opening,beginner,false,dynamic,30,90,60,shoulders|core|hamstrings|calves,wrists|shoulders|hips|ankles,vishuddha,balancing,full body stretch|shoulder opener|inversion|strengthening|flexibility,estiramiento de cuerpo completo|apertura de hombros|inversión|fortalecimiento|flexibilidad,wrist injury|shoulder problems|hypertension|late pregnancy,lesión de muñeca|problemas de hombro|hipertensión|embarazo avanzado,wrists not aligned|heels forced to ground,muñecas no alineadas|talones forzados al suelo,Even your breath between head and heart.,Equilibra tu respiración entre la cabeza y el corazón.,foundational|inversion|strengthening,true,symmetric,none,sun_salutation|tadasana
Warrior I,Guerrero I,Virabhadrasana I,Virabhadrāsana I,वीरभद्रासन I,,standing_asymmetric,standing|forward_bend,intermediate,true,static,30,90,60,quads|glutes|hip flexors,knees|hips|ankles,manipura,energizing,leg strength|hip opener|balance|grounding|core|focus,fuerza de piernas|apertura de cadera|equilibrio|enraizamiento|centro|concentración,knee injury|hip issues|back pain,lesión de rodilla|problemas de cadera|dolor de espalda,back foot not grounded|front knee over toes|hips not square,pie trasero no enraizado|rodilla delantera sobrepasa los dedos|caderas no alineadas,Draw the breath through the legs.,Dirige la respiración a través de las piernas.,warrior|strength|balance|grounding,true,both_sides,angushta_madhyai,standing_asymmetric
Warrior II,Guerrero II,Virabhadrasana II,Virabhadrāsana II,वीरभद्रासन II,,standing_asymmetric,standing,intermediate,true,static,30,90,60,quads|hamstrings|hip abductors,knees|hips|ankles|shoulders,manipura,energizing,leg strength|hip stability|shoulder opening|grounding,fuerza de piernas|estabilidad de cadera|apertura de hombros|enraizamiento,knee injury|high blood pressure|ankle issues,lesión de rodilla|presión arterial alta|problemas de tobillo,back heel lifting|torso leaning|shoulders tense,talón trasero se levanta|torso inclinado|hombros tensos,Steady the gaze and breath.,Estabiliza la mirada y la respiración.,warrior|standing|strength,true,both_sides,hastagrai,standing_asymmetric
Triangle Pose,Postura del Triángulo,Trikonasana,Trikoṇāsana,त्रिकोणासन,,standing_asymmetric,standing|forward_bend,beginner,true,static,30,90,60,hamstrings|obliques|calves,ankles|hips|knees|spine,anahata,balancing,hamstring stretch|side body opener|balance|strengthening,estiramiento de isquiotibiales|apertura del costado|equilibrio|fortalecimiento,hamstring injury|ankle problems|high blood pressure,lesión de isquiotibiales|problemas de tobillo|presión arterial alta,bent front knee|collapsed side body|misaligned torso,rodilla delantera flexionada|costado colapsado|torso desalineado,Lengthen through both sides of the body.,Alarga a través de ambos costados del cuerpo.,stretching|balance|standing,true,both_sides,hastagrai,standing_asymmetric|triangle_sequence
Tree Pose,Postura del Árbol,Vrksasana,Vṛkṣāsana,वृक्षासन,,one_leg_balance,standing|balancing,beginner,false,static,30,60,45,hip external rotators|glutes|core|ankle stabilizers,ankles|knees|hips,anahata,grounding,balance improvement|ankle strengthening|mental focus|grounding,mejora del equilibrio|fortalecimiento de tobillo|concentración mental|enraizamiento,severe balance issues|inner ear problems|ankle injury,problemas severos de equilibrio|problemas de oído interno|lesión de tobillo,standing leg locked|elevated hip hiking|eyes unfocused,pierna de apoyo bloqueada|cadera elevada|ojos desenfocados,Focus on one point. Breathe evenly.,Enfoca en un punto. Respira uniformemente.,balance|standing|grounding,true,both_sides,nasagrai,one_leg_standing
Child's Pose,Postura del Niño,Balasana,Balāsana,बालासन,,prone,sitting_meditation,beginner,false,static,30,300,60,hips|hamstrings,knees|hips|shoulders|neck,muladhara,calming,rest|hip opening|forward fold|hamstring stretch,descanso|apertura de cadera|flexión hacia adelante|estiramiento de isquiotibiales,knees injury|wrist problems|pregnancy,lesión de rodillas|problemas de muñeca|embarazo,hips not behind knees|straining neck,caderas no detrás de las rodillas|cuello forzado,Breathe deeply into the hips.,Respira profundamente hacia las caderas.,rest|stretching|mild,true,symmetric,none,prone
Cobra Pose,Postura de la Cobra,Bhujangasana,Bhujangāsana,भुजंगासन,,prone,backbend,beginner,false,static,15,45,30,chest|shoulders|serratus|abs,wrists|elbows|spine|shoulders,anahata,energizing,chest opener|back strengthening|shoulder mobility|front body warming,apertura del pecho|fortalecimiento de espalda|movilidad de hombros|calentamiento del frente del cuerpo,lower back issues|wrist problems|neck pain,problemas lumbares|problemas de muñeca|dolor de cuello,shoulders hunched to ears|elbows flairing out|hyperextending neck,hombros encogidos hacia las orejas|codos hacia afuera|cuello hiperextendido,Lift through the crown. Keep shoulders down.,Eleva desde la coronilla. Mantén los hombros abajo.,backbend|chest-opener|strength,true,symmetric,brumadhya,prone|bow_sequence|sun_salutation
Cat-Cow Pose,Postura del Gato-Vaca,Marjaryasana-Bitilasana,Marjaryāsana-Bitilāsana,मार्जयासन-बितिलासन,,prone,forward_bend|backbend,beginner,false,dynamic,15,60,30,entire spine|chest|abs|serratus,wrists|shoulders|spine|hips,svadhisthana,balancing,spine mobilization|warm-up|flexibility|breath coordination,movilización de la columna|calentamiento|flexibilidad|coordinación de la respiración,wrist injury|neck issues,lesión de muñeca|problemas de cuello,jerky movements|holding breath|forcing range,movimientos bruscos|contener la respiración|forzar el rango,Match breath to movement.,Sincroniza la respiración con el movimiento.,dynamic|flowing|warm-up,true,symmetric,none,sun_salutation
Corpse Pose,Postura del Cadáver,Savasana,Śavāsana,शवासन,,supine,reclining,beginner,false,static,180,300,300,entire body|nervous system,entire body,sahasrara,calming,complete relaxation|meditation|integration|restoration,relajación completa|meditación|integración|restauración,sleep apnea|severe anxiety|back problems,apnea del sueño|ansiedad severa|problemas de espalda,falling asleep|mind wandering|body tension,quedarse dormido|mente dispersa|tensión corporal,Lengthen your exhalation slightly.,Alarga ligeramente tu exhalación.,relaxation|meditation|rest,true,symmetric,none,supine
Lotus Pose,Postura del Loto,Padmasana,Padmāsana,पद्मासन,,meditative,sitting_meditation,advanced,false,static,60,600,300,hips|knees|ankles|inner thighs,knees|hips|ankles,anahata,balancing,intense hip opener|meditation pose|grounding|spiritual,apertura intensa de cadera|postura de meditación|enraizamiento|espiritual,knee injury|hip injury|ankle injury,lesión de rodilla|lesión de cadera|lesión de tobillo,forcing hips open|uneven weight distribution|forcing legs,forzar la apertura de caderas|distribución desigual del peso|forzar las piernas,Breathe into the resistance.,Respira hacia la resistencia.,meditation|flexibility|advanced,true,symmetric,brumadhya,meditative|lotus_variations
Seated Forward Fold,Flexión Sentada hacia Adelante,Paschimottanasana,Paścimottānāsana,पश्चिमोत्तानासन,,seated_forward,forward_bend,intermediate,false,static,30,180,90,hamstrings|erector spinae|calves,ankles|knees|hips|spine,muladhara,calming,intense hamstring stretch|spine lengthening|calming|digestion,estiramiento intenso de isquiotibiales|alargamiento de la columna|calma|digestión,hamstring injury|sciatic issues|lower back problems,lesión de isquiotibiales|problemas de ciática|problemas lumbares,bouncing|rounding upper back|forced depth,rebote|espalda alta redondeada|profundidad forzada,Hinge from the hips. Breathe into length.,Flexiona desde las caderas. Respira hacia la extensión.,stretching|forward-fold|calming,true,symmetric,padayoragrai,seated
Pigeon Pose,Postura de la Paloma,Eka Pada Rajakapotasana Prep,Eka Pada Rājakapotāsana Prep,एक पद राजकपोतासन,Hip Opener,seated_hip_opener,hip_opening,intermediate,true,static,60,300,120,hip external rotators|glutes|hip flexors,hip|knee|ankle,svadhisthana,calming,intense hip opener|hip opening|flexibility,apertura intensa de cadera|apertura de cadera|flexibilidad,knee issues|hip problems|ankle problems,problemas de rodilla|problemas de cadera|problemas de tobillo,hips not level|front leg not engaged|torso collapsed,caderas no niveladas|pierna delantera no activa|torso colapsado,Deep breaths into the sensations.,Respiraciones profundas hacia las sensaciones.,hip-opener|flexibility,true,both_sides,none,seated
Plank Pose,Postura de la Plancha,Kumbhakasana,Kumbhakāsana,कुम्भकासन,,arm_support,core_strength,beginner,false,dynamic,20,60,45,core|shoulders|chest|triceps,wrists|shoulders|elbows,manipura,energizing,core strength|arm strength|shoulder stability|foundational,fuerza del centro|fuerza de brazos|estabilidad de hombros|fundamento,wrist pain|shoulder issues|pregnancy,dolor de muñeca|problemas de hombro|embarazo,shoulders hunched|torso saggy|hips too high,hombros encogidos|torso caído|caderas demasiado altas,Steady breathing through the challenge.,Respiración constante durante el desafío.,core|strength|foundational,true,symmetric,nabi_chakra,sun_salutation
Chair Pose,Postura de la Silla,Utkatasana,Utkaṭāsana,उत्कटासन,,standing_mountain,standing|forward_bend,beginner,false,static,20,60,45,quadriceps|glutes|hamstrings|core,ankles|knees|hips|spine,manipura,energizing,leg strength|glute activation|quad strengthening|core|calming,fuerza de piernas|activación de glúteos|fortalecimiento de cuádriceps|centro|calma,knee problems|balance issues|lower back pain,problemas de rodilla|problemas de equilibrio|dolor lumbar,knees caving inward|torso leaning forward|weight in toes,rodillas hacia adentro|torso inclinado hacia adelante|peso en los dedos de los pies,Press weight into heels. Steady your gaze.,Presiona el peso en los talones. Estabiliza tu mirada.,strength|standing|leg-focused,true,symmetric,urdhva_drishti,tadasana
Shoulder Stand,Postura de la Vela,Sarvangasana,Sarvāngāsana,सर्वांगासन,,inverted,inverted,advanced,false,static,20,120,60,shoulders|trapezius|neck|core,neck|shoulders|spine,vishuddha,energizing,shoulder strengthening|thyroid stimulation|inversion benefits|back of body,fortalecimiento de hombros|estimulación de tiroides|beneficios de inversión|parte posterior del cuerpo,neck issues|high blood pressure|shoulder problems,problemas de cuello|presión arterial alta|problemas de hombro,neck straining|uneven weight|collapsing shoulders,cuello forzado|peso desigual|hombros colapsando,Distribute weight evenly in shoulders.,Distribuye el peso uniformemente en los hombros.,inversion|advanced|therapeutic,true,symmetric,nasagrai,inverted
Headstand,Parada de Cabeza,Sirsasana,Śīrṣāsana,शीर्षासन,,inverted,inverted,advanced,false,static,20,120,60,shoulders|core|neck|hip flexors,wrists|shoulders|neck|spine,ajna,energizing,increased circulation|mental clarity|inversion benefits|confidence,mayor circulación|claridad mental|beneficios de inversión|confianza,neck pain|pregnancy|osteoporosis|balance issues,dolor de cuello|embarazo|osteoporosis|problemas de equilibrio,neck straining|improper alignment|collapsing,cuello forzado|alineación incorrecta|colapsando,Press firmly through forearms. Steady breath.,Presiona firmemente con los antebrazos. Respiración constante.,inversion|balance|advanced,true,symmetric,brumadhya,inverted
Boat Pose,Postura del Barco,Navasana,Nāvāsana,नावासन,,seated_forward,core_strength,intermediate,false,static,15,60,30,core|hip flexors|quadriceps,hips|knees|spine,manipura,energizing,core strength|improves digestion|builds confidence|hip flexor strength,fuerza del centro|mejora la digestión|genera confianza|fuerza de flexores de cadera,lower back pain|neck tension|hip flexor issues,dolor lumbar|tensión de cuello|problemas de flexores de cadera,lower back arching|shoulders hunched|upper body rigid,espalda baja arqueada|hombros encogidos|parte superior del cuerpo rígida,Keep chest lifted. Steady breath.,Mantén el pecho elevado. Respiración constante.,core|strength|balance,true,symmetric,padayoragrai,seated
Bridge Pose,Postura del Puente,Setu Bandhasana,Setu Bandhāsana,सेतु बंधासन,,supine,backbend,beginner,false,static,30,120,60,glutes|hamstrings|erector spinae|quadriceps,knees|hips|ankles|spine,manipura,energizing,back strengthening|glute activation|front body opening|hip opening,fortalecimiento de espalda|activación de glúteos|apertura del frente del cuerpo|apertura de cadera,neck pain|back issues|knee problems,dolor de cuello|problemas de espalda|problemas de rodilla,knees splaying|torso arching asymmetrically|neck tension,rodillas abriéndose|torso arqueándose asimétricamente|tensión en el cuello,Ground feet firmly. Breathe steadily.,Enraíza los pies firmemente. Respira con estabilidad.,backbend|strength|beginner,true,symmetric,urdhva_drishti,supine|bow_sequence
Plow Pose,Postura del Arado,Halasana,Halāsana,हलासन,,inverted,inverted,advanced,false,static,20,120,60,shoulders|spine|hamstrings|core,neck|spine|hips|ankles,vishuddha,calming,spine traction|hamstring stretch|calming|nervous system reset,tracción de la columna|estiramiento de isquiotibiales|calma|reinicio del sistema nervioso,neck pain|back pain|shoulder issues|pregnancy,dolor de cuello|dolor de espalda|problemas de hombro|embarazo,neck moving|improper support|forcing depth,cuello moviéndose|soporte inadecuado|forzar la profundidad,Keep weight in shoulders. Breathe slowly.,Mantén el peso en los hombros. Respira lentamente.,inversion|advanced|therapeutic,true,symmetric,nasagrai,inverted
Wide-Legged Forward Fold,Flexión con Piernas Abiertas,Prasarita Padottanasana,Prasārita Pādottānāsana,प्रसारित पादोत्तानासन,Wide Stance Forward Fold,standing_symmetric,standing|forward_bend,beginner,false,static,30,90,60,hamstrings|inner thighs|calves|spine,ankles|knees|hips|spine,muladhara,calming,hamstring stretch|grounding|shoulder opening|spine lengthening,estiramiento de isquiotibiales|enraizamiento|apertura de hombros|alargamiento de la columna,hamstring injury|high blood pressure|dizziness,lesión de isquiotibiales|presión arterial alta|mareos,hips too forward|heels lifting|neck strained,caderas demasiado adelante|talones levantándose|cuello forzado,Breathe into the stretch as the spine lengthens.,Respira hacia el estiramiento mientras la columna se alarga.,standing|symmetric|forward-fold|grounding,true,symmetric,nabi_chakra,standing_symmetric
Half Lord of the Fishes Pose,Postura de la Media Torsión,Ardha Matsyendrasana,Ardha Matsyendrāsana,अर्ध मत्स्येन्द्रासन,Half Spinal Twist,seated_twist,twisting,intermediate,true,static,30,90,60,obliques|erector spinae|shoulder rotators,hips|knees|spine,manipura,balancing,spinal rotation|detoxification|hip opening|digestive stimulation,rotación espinal|desintoxicación|apertura de cadera|estimulación digestiva,herniated disc|sacroiliac issues|pregnancy,hernia discal|problemas sacroilíacos|embarazo,slouching torso|forcing rotation|improper foot position,torso encorvado|forzar la rotación|posición incorrecta del pie,Lengthen the spine on each inhale. Deepen the twist on each exhale.,Alarga la columna en cada inhalación. Profundiza la torsión en cada exhalación.,twisting|seated|detox,true,both_sides,parshva_drishti,seated
Camel Pose,Postura del Camello,Ustrasana,Uṣṭrāsana,उष्ट्रासन,Camel,backbend,backbend,intermediate,false,static,20,60,30,quadriceps|hip flexors|chest|shoulders,knees|hips|spine|shoulders,anahata,energizing,deep backbend|chest opening|hip flexor stretch|shoulder opening|spinal extension,extensión profunda|apertura del pecho|estiramiento de flexores de cadera|apertura de hombros|extensión espinal,knee injury|back pain|neck issues|high blood pressure,lesión de rodilla|dolor de espalda|problemas de cuello|presión arterial alta,neck thrown back|knees splaying|shallow back bend,cuello echado hacia atrás|rodillas abriéndose|extensión poco profunda,Lift and open through the sternum.,Eleva y abre a través del esternón.,backbend|chest-opener|intermediate|energy,true,symmetric,urdhva_drishti,bow_sequence
Head-to-Knee Forward Bend Left,Flexión de Cabeza a Rodilla Izquierda,Janu Sirsasana A Left,Jānu Śīrṣāsana A Left,जानु शीर्षासन ए,Head-to-Knee Pose Left,seated_forward,forward_bend,beginner,false,static,30,120,60,left hamstring|left hip rotators|erector spinae,left knee|left hip|left ankle|spine,muladhara,calming,unilateral hamstring stretch|hip rotation|calming|introspection,estiramiento unilateral de isquiotibial|rotación de cadera|calma|introspección,knee injury|hamstring injury|lower back problems,lesión de rodilla|lesión de isquiotibial|problemas lumbares,forcing depth|bent knee|rounding upper back,forzar profundidad|rodilla flexionada|espalda alta redondeada,Inhale to lengthen. Exhale to fold forward gently.,Inhala para alargar. Exhala para plegarte hacia adelante suavemente.,seated|forward-fold|left-side|therapeutic,true,left_only,padayoragrai,seated
Head-to-Knee Forward Bend Right,Flexión de Cabeza a Rodilla Derecha,Janu Sirsasana A Right,Jānu Śīrṣāsana A Right,जानु शीर्षासन ए,Head-to-Knee Pose Right,seated_forward,forward_bend,beginner,false,static,30,120,60,right hamstring|right hip rotators|erector spinae,right knee|right hip|right ankle|spine,muladhara,calming,unilateral hamstring stretch|hip rotation|calming|introspection,estiramiento unilateral de isquiotibial|rotación de cadera|calma|introspección,knee injury|hamstring injury|lower back problems,lesión de rodilla|lesión de isquiotibial|problemas lumbares,forcing depth|bent knee|rounding upper back,forzar profundidad|rodilla flexionada|espalda alta redondeada,Inhale to lengthen. Exhale to fold forward gently.,Inhala para alargar. Exhala para plegarte hacia adelante suavemente.,seated|forward-fold|right-side|therapeutic,true,right_only,padayoragrai,seated
Thunderbolt Pose,Postura del Rayo,Vajrasana,Vajrāsana,वज्रासन,Diamond Pose|Kneeling Pose,meditative,sitting_meditation,beginner,false,static,30,300,60,quadriceps|ankles|feet,knees|ankles|hips,muladhara,grounding,digestive aid|knee flexibility|ankle mobility|meditation base|grounding,ayuda digestiva|flexibilidad de rodilla|movilidad de tobillo|base de meditación|enraizamiento,knee injury|ankle problems|varicose veins,lesión de rodilla|problemas de tobillo|venas varicosas,sitting on tops of feet instead of heels|leaning forward|tension in lower back,sentarse sobre los empeines en vez de los talones|inclinarse hacia adelante|tensión en la espalda baja,Breathe steadily into the lower body.,Respira con estabilidad hacia la parte inferior del cuerpo.,kneeling|grounding|foundation|vajrasana,true,symmetric,nasagrai,vajrasana_variations|meditative
